country,location_count,date
AE,4,2024-06-22
AR,17,2024-06-22
AT,77,2024-06-22
AU,433,2024-06-22
BE,85,2024-06-22
BG,3,2024-06-22
BH,1,2024-06-22
BM,1,2024-06-22
BR,5,2024-06-22
CA,513,2024-06-22
CH,35,2024-06-22
CL,1,2024-06-22
CN,3,2024-06-22
CO,1,2024-06-22
CR,1,2024-06-22
CZ,6,2024-06-22
DE,129,2024-06-22
DK,33,2024-06-22
DO,1,2024-06-22
EE,2,2024-06-22
ES,78,2024-06-22
FI,99,2024-06-22
FR,250,2024-06-22
GB,162,2024-06-22
GE,1,2024-06-22
GG,1,2024-06-22
GR,6,2024-06-22
HK,3,2024-06-22
HR,6,2024-06-22
HU,23,2024-06-22
ID,1,2024-06-22
IE,7,2024-06-22
IL,18,2024-06-22
IN,1,2024-06-22
IS,1,2024-06-22
IT,82,2024-06-22
JP,87,2024-06-22
LT,1,2024-06-22
LU,3,2024-06-22
MX,8,2024-06-22
MY,1,2024-06-22
NC,1,2024-06-22
NL,69,2024-06-22
NO,14,2024-06-22
NZ,60,2024-06-22
PA,1,2024-06-22
PH,2,2024-06-22
PL,50,2024-06-22
PR,1,2024-06-22
PT,10,2024-06-22
RO,2,2024-06-22
RS,3,2024-06-22
RU,1,2024-06-22
SE,77,2024-06-22
SG,4,2024-06-22
SI,3,2024-06-22
SK,2,2024-06-22
SM,1,2024-06-22
TH,5,2024-06-22
TR,3,2024-06-22
TW,7,2024-06-22
US,7878,2024-06-22
VE,1,2024-06-22
VI,2,2024-06-22
ZA,10,2024-06-22
